No,ID,JK,Kecamatan,Jenis_Tinggal,Alat_Transportasi,Penerima_KPS,Pekerjaan_Ayah,Penghasilan_Ayah,Pekerjaan_Ibu,Penghasilan_Ibu,Rombel_Saat_Ini,Penerima_KIP,Layak_PIP
119,119,L,Kec. Tenayan Raya,Bersama orang tua,Mobil pribadi,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 1,Tidak,Tidak
120,120,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 1,Tidak,Tidak
121,121,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Pensiunan,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 3,Tidak,Tidak
122,122,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XII IPS 4,Tidak,Tidak
123,123,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 5,000,000 - Rp. 20,000,000",Wiraswasta,"Rp. 5,000,000 - Rp. 20,000,000",XI MIPA 2,Tidak,Tidak
124,124,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Lebih dari Rp. 20,000,000",Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",XI IPS 3,Tidak,Tidak
125,125,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 5,000,000 - Rp. 20,000,000",Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",XII MIPA 4,Tidak,Tidak
126,126,P,Kec. Tenayan Raya,Bersama orang tua,Mobil pribadi,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 2,Tidak,Tidak
127,127,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 2,Tidak,Tidak
128,128,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Karyawan Swasta,Tidak Berpenghasilan,XI IPS 1,Tidak,Tidak
129,129,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Sudah Meninggal,Tidak Berpenghasilan,Tidak bekerja,Tidak Berpenghasilan,XI IPS 1,Tidak,Ya
130,130,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 5,Tidak,Ya
131,131,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 1,Ya,Tidak
132,132,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",XII IPS 1,Tidak,Ya
133,133,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 1,Tidak,Tidak
134,134,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Buruh,"Rp. 2,000,000 - Rp. 4,999,999",Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",XII MIPA 2,Tidak,Tidak
135,135,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 4,Tidak,Tidak
136,136,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Karyawan Swasta,"Kurang dari Rp. 500,000",XI MIPA 1,Tidak,Tidak
137,137,L,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XII IPS 2,Tidak,Tidak
138,138,P,Kec. Tenayan Raya,Bersama orang tua,Kendaraan pribadi,Tidak,Wiraswasta,Lebih dari Rp 2.000.000,PNS/TNI/Polri,Lebih dari Rp 2.000.000,X MIPA 3,Tidak,Tidak
139,139,P,Kec. Marpoyan Damai,Bersama orang tua,Sepeda motor,Tidak,Pedagang Kecil,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 1,Tidak,Tidak
140,140,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Wiraswasta,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 3,Tidak,Tidak
141,141,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",XII MIPA 4,Tidak,Tidak
142,142,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 6,Tidak,Tidak
143,143,L,Kec. Marpoyan Damai,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",XII IPS 2,Tidak,Tidak
144,144,P,Kec. Dumai Barat,Wali,Lainnya,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",X MIPA 1,Tidak,Tidak
145,145,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,Lebih dari Rp 2.000.000,Wiraswasta,Rp 1.000.000 - Rp 2.000.000,X IPS 3,Tidak,Tidak
146,146,P,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 5,Tidak,Tidak
147,147,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Sudah Meninggal,Tidak Berpenghasilan,Lainnya,"Rp. 500,000 - Rp. 999,999",XI MIPA 7,Tidak,Tidak
148,148,L,Kec. Bukit Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,Wirausaha,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XII IPS 1,Tidak,Tidak
149,149,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 3,Tidak,Tidak
150,150,L,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 5,Tidak,Tidak
151,151,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Ya,Wiraswasta,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X IPS 3,Tidak,Ya
152,152,L,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",XII IPS 4,Tidak,Tidak
153,153,P,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,Buruh,"Kurang dari Rp. 500,000",Tidak bekerja,Tidak Berpenghasilan,XI IPS 3,Ya,Ya
154,154,L,Kec. Marpoyan Damai,Wali,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XII IPS 1,Tidak,Tidak
155,155,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 3,Tidak,Tidak
156,156,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 6,Tidak,Tidak
157,157,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 4,Tidak,Tidak
158,158,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 3,Tidak,Tidak
159,159,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 6,Tidak,Tidak
160,160,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Pedagang Kecil,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 2,Tidak,Tidak
161,161,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 4,Tidak,Tidak
162,162,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 3,Tidak,Ya
163,163,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Ya,Pedagang Kecil,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,X MIPA 5,Tidak,Ya
164,164,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 2,Tidak,Tidak
165,165,P,Kec. Tenayan Raya,Bersama orang tua,Kendaraan pribadi,Tidak,Lainnya,Lebih dari Rp 2.000.000,PNS/TNI/Polri,Lebih dari Rp 2.000.000,X MIPA 1,Tidak,Tidak
166,166,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,X IPS 2,Tidak,Tidak
167,167,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 1,Tidak,Tidak
168,168,L,Kec. Bukit Raya,Asrama,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,X MIPA 5,Tidak,Tidak
169,169,L,Kec. Tenayan Raya,Bersama orang tua,Kendaraan pribadi,Tidak,Karyawan Swasta,Lebih dari Rp 2.000.000,Karyawan Swasta,Lebih dari Rp 2.000.000,X MIPA 3,Tidak,Tidak
170,170,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Pensiunan,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,"Kurang dari Rp. 500,000",XII IPS 3,Tidak,Tidak
171,171,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 2,Tidak,Tidak
172,172,L,Kec. Bukit Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,Pedagang Kecil,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 3,Tidak,Tidak
173,173,P,Kec. Rumbai Pesisir,Bersama orang tua,Mobil pribadi,Tidak,Wiraswasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,X IPS 2,Tidak,Tidak
174,174,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 2,Tidak,Tidak
175,175,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 1,Tidak,Tidak
176,176,L,Kec. Payung Sekaki,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 4,Tidak,Tidak
177,177,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Ya,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Petani,"Kurang dari Rp. 500,000",X IPS 3,Ya,Ya
178,178,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Buruh,"Rp. 500,000 - Rp. 999,999",Wiraswasta,"Kurang dari Rp. 500,000",XI IPS 2,Tidak,Tidak
179,179,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",XII IPS 2,Tidak,Tidak
180,180,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 3,Tidak,Tidak
181,181,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Pensiunan,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 3,Tidak,Tidak
182,182,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wirausaha,"Rp. 2,000,000 - Rp. 4,999,999",Lainnya,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 2,Tidak,Tidak
183,183,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Ya,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Lainnya,"Rp. 500,000 - Rp. 999,999",X MIPA 6,Tidak,Ya
184,184,P,Kec. Siak Hulu,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 500,000 - Rp. 999,999",Buruh,"Rp. 1,000,000 - Rp. 1,999,999",XII MIPA 2,Tidak,Tidak
185,185,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Ya,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 1,Tidak,Ya
186,186,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Buruh,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 2,Tidak,Tidak
187,187,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 4,Tidak,Tidak
188,188,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 3,Tidak,Tidak
189,189,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",XII MIPA 1,Tidak,Tidak
190,190,P,Kec. Bukit Raya,Bersama orang tua,Mobil pribadi,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XII MIPA 3,Tidak,Tidak
191,191,L,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 3,Tidak,Tidak
192,192,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 3,Tidak,Tidak
193,193,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Karyawan Swasta,Lebih dari Rp 2.000.000,Karyawan Swasta,Lebih dari Rp 2.000.000,X MIPA 6,Tidak,Tidak
194,194,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,X IPS 1,Tidak,Tidak
195,195,P,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 2,Tidak,Tidak
196,196,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 1,Tidak,Tidak
197,197,P,Kec. Sikap Dalam,Bersama orang tua,Jalan kaki,Tidak,Petani,"Kurang dari Rp. 500,000",Petani,"Kurang dari Rp. 500,000",X IPS 4,Tidak,Tidak
198,198,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Buruh,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 7,Tidak,Tidak
199,199,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Pedagang Kecil,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 4,Tidak,Tidak
200,200,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 6,Tidak,Tidak
201,201,L,Kec. Tenayan Raya,Bersama orang tua,Mobil pribadi,Tidak,Karyawan Swasta,"Lebih dari Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 1,Tidak,Tidak
202,202,P,Kec. Bukit Raya,Bersama orang tua,Kendaraan pribadi,Tidak,Wiraswasta,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 1,Tidak,Tidak
203,203,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 1,Tidak,Tidak
204,204,L,Kec. Tenayan Raya,Bersama orang tua,Kendaraan pribadi,Tidak,Wiraswasta,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X IPS 4,Tidak,Tidak
205,205,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 1,Tidak,Tidak
206,206,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 3,Tidak,Tidak
207,207,L,Kec. Tenayan Raya,Lainnya,Lainnya,Tidak,Karyawan Swasta,Lebih dari Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 2,Tidak,Tidak
208,208,L,Kec. Bukit Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 1,Ya,Tidak
209,209,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Karyawan Swasta,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X IPS 4,Tidak,Tidak
210,210,P,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 3,Tidak,Tidak
211,211,P,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,Tidak bekerja,Tidak Berpenghasilan,Pedagang Kecil,"Rp. 500,000 - Rp. 999,999",XI IPS 1,Tidak,Ya
212,212,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 1,Tidak,Tidak
213,213,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 4,Tidak,Tidak
214,214,L,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Pedagang Kecil,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 1,Tidak,Tidak
215,215,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XII MIPA 1,Tidak,Tidak
216,216,P,Kec. Bukit Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,X MIPA 1,Tidak,Tidak
217,217,L,Kec. Tenayan Raya,Bersama orang tua,Kendaraan pribadi,Tidak,Wiraswasta,Rp 1.000.000 - Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 2,Tidak,Tidak
218,218,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Tidak,Buruh,Kurang dari Rp 1.000.000,Tidak bekerja,Tidak Berpenghasilan,X MIPA 6,Tidak,Ya
219,219,P,Kec. Kampar Kiri Hulu,Bersama orang tua,Jalan kaki,Ya,Petani,Lebih dari Rp 2.000.000,Tidak bekerja,Tidak Berpenghasilan,X IPS 3,Ya,Tidak
220,220,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Sudah Meninggal,Tidak Berpenghasilan,PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XII MIPA 4,Tidak,Tidak
221,221,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",XI MIPA 5,Tidak,Tidak
222,222,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XII IPS 3,Tidak,Tidak
223,223,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 2,Tidak,Tidak
224,224,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,X MIPA 4,Tidak,Tidak
225,225,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,"Kurang dari Rp. 500,000",XII MIPA 3,Tidak,Tidak
226,226,P,Kec. Tenayan Raya,Bersama orang tua,Mobil/bus antar jemput,Tidak,Petani,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 3,Tidak,Ya
227,227,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XII IPS 4,Tidak,Tidak
228,228,P,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,Buruh,"Kurang dari Rp. 500,000",Tidak bekerja,Tidak Berpenghasilan,X IPS 1,Tidak,Tidak
229,229,P,Kec. Tenayan Raya,Bersama orang tua,Jalan kaki,Ya,Wiraswasta,Kurang dari Rp 1.000.000,Tidak bekerja,Tidak Berpenghasilan,X IPS 4,Ya,Ya
230,230,P,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,Lainnya,"Rp. 500,000 - Rp. 999,999",Pedagang Kecil,"Rp. 2,000,000 - Rp. 4,999,999",XI MIPA 7,Tidak,Tidak
231,231,L,Kec. Bukit Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 5,000,000 - Rp. 20,000,000",PNS/TNI/Polri,"Rp. 2,000,000 - Rp. 4,999,999",XII IPS 4,Tidak,Tidak
232,232,L,Kec. Tenayan Raya,Bersama orang tua,Angkutan umum/bus/pete-pete,Tidak,Karyawan Swasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,X IPS 3,Tidak,Tidak
233,233,P,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 1,000,000 - Rp. 1,999,999",Tidak bekerja,Tidak Berpenghasilan,XI IPS 1,Tidak,Tidak
234,234,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Karyawan Swasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,XI MIPA 6,Tidak,Tidak
235,235,L,Kec. Tenayan Raya,Bersama orang tua,Sepeda motor,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Tidak bekerja,Tidak Berpenghasilan,X IPS 1,Tidak,Tidak
236,236,L,Kec. Bukit Raya,Bersama orang tua,Jalan kaki,Tidak,Wiraswasta,"Rp. 2,000,000 - Rp. 4,999,999",Lainnya,Tidak Berpenghasilan,X MIPA 2,Tidak,Tidak
237,237,L,Kec. Tenayan Raya,Bersama orang tua,Mobil pribadi,Tidak,PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",PNS/TNI/Polri,"Rp. 5,000,000 - Rp. 20,000,000",XI MIPA 5,Tidak,Tidak
